iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec,chosen_arm,reward,arm_explore_count,arm_exploit_count,arm_both_count,arm_explore_value,arm_exploit_value,arm_both_value
13,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0154,0.0166,0.014,0.0158,0.0009549869109050659,5,1,0,1,34.673,1.039,0.103,35.815,exploit,-0.0012399999999999998,4,5,5,-0.0011099999999999999,-0.0008719999999999989,-0.0001519999999999993
14,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015039999999999998,0.0174,0.0116,0.0158,0.0021518364250100426,5,1,1,0,35.204,1.549,0.114,36.867,explore,0.0005600000000000049,5,5,5,-0.0007759999999999989,-0.0008719999999999989,-0.0001519999999999993
0,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01524,0.0232,0.0034,0.0174,0.007603578105076583,5,1,1,0,35.918,2.263,0.107,38.288,explore,0.000959999999999999,1,0,0,0.000959999999999999,0.0,0.0
1,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015360000000000002,0.024,0.0074,0.0172,0.006473824217570323,5,1,0,1,32.936,0.765,0.105,33.807,exploit,0.00024000000000000063,1,1,0,0.000959999999999999,0.00024000000000000063,0.0
2,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01672,0.0238,0.0086,0.0194,0.006630354439997911,5,1,1,1,31.624,3.026,0.086,34.735,both,-0.0004399999999999994,1,1,1,0.000959999999999999,0.00024000000000000063,-0.0004399999999999994
3,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01784,0.0278,0.0066,0.0212,0.008011391889053986,5,1,1,0,31.87,1.843,0.115,33.829,explore,-4.000000000000184e-05,2,1,1,0.0004599999999999986,0.00024000000000000063,-0.0004399999999999994
4,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01508,0.0214,0.009,0.0156,0.004713554921712486,5,1,0,1,32.954,1.172,0.106,34.233,exploit,0.00068,2,2,1,0.0004599999999999986,0.00046000000000000034,-0.0004399999999999994
5,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0156,0.0208,0.0058,0.0184,0.005655439859109103,5,1,1,1,32.583,2.709,0.126,35.419,both,0.00032000000000000084,2,2,2,0.0004599999999999986,0.00046000000000000034,-5.999999999999929e-05
6,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.019119999999999998,0.027,0.0068,0.0218,0.006872088474401359,5,1,1,0,32.544,2.087,0.11,34.741,explore,-0.002599999999999998,3,2,2,-0.0005600000000000004,0.00046000000000000034,-5.999999999999929e-05
7,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01568,0.0206,0.0058,0.018,0.005410508294051494,5,1,0,1,33.204,0.762,0.113,34.08,exploit,0.0015599999999999989,3,3,2,-0.0005600000000000004,0.0008266666666666665,-5.999999999999929e-05
8,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015520000000000003,0.0208,0.007,0.0176,0.005044759657307769,5,1,1,1,33.447,3.342,0.119,36.908,both,0.0016799999999999975,3,3,3,-0.0005600000000000004,0.0008266666666666665,0.0005199999999999996
9,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.016,0.0218,0.0058,0.0196,0.0059973327404772205,5,1,0,1,32.585,0.983,0.101,33.669,exploit,0.00023999999999999716,3,4,3,-0.0005600000000000004,0.0006799999999999992,0.0005199999999999996
10,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01688,0.022,0.0068,0.0184,0.005398666502016956,5,1,1,1,34.164,2.674,0.112,36.951,both,4.000000000000184e-05,3,4,4,-0.0005600000000000004,0.0006799999999999992,0.0004000000000000002
11,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01652,0.0224,0.008,0.018,0.005084250190539407,5,1,1,0,32.543,2.849,0.108,35.5,explore,-0.0021199999999999986,4,4,4,-0.0009499999999999999,0.0006799999999999992,0.0004000000000000002
12,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01792,0.0222,0.0076,0.0206,0.00542822254517996,5,1,0,1,32.988,0.858,0.106,33.952,exploit,-0.0013199999999999983,4,5,4,-0.0009499999999999999,0.0002799999999999997,0.0004000000000000002
13,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015639999999999998,0.0222,0.0062,0.019,0.006158441361253673,5,1,1,1,32.491,2.77,0.103,35.364,both,0.0012799999999999999,4,5,5,-0.0009499999999999999,0.0002799999999999997,0.0005760000000000001
14,The Beatles' rooftop concert,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01648,0.0214,0.0068,0.0202,0.005625086665999022,5,1,1,0,32.92,2.062,0.103,35.084,explore,-0.0008400000000000005,5,5,5,-0.000928,0.0002799999999999997,0.0005760000000000001
0,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008479999999999998,0.0156,0.0028,0.0086,0.004444502221846672,5,1,1,0,28.806,1.579,0.101,30.487,explore,0.0009200000000000024,1,0,0,0.0009200000000000024,0.0,0.0
1,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.010079999999999999,0.0156,0.007,0.0082,0.0033813606728652886,5,1,0,1,30.36,0.945,0.11,31.415,exploit,0.00028000000000000247,1,1,0,0.0009200000000000024,0.00028000000000000247,0.0
2,Carl Jung,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01112,0.0136,0.0082,0.012,0.002368459414893994,5,1,1,1,30.209,1.818,0.123,32.151,both,-0.0012799999999999999,1,1,1,0.0009200000000000024,0.00028000000000000247,-0.0012799999999999999
