domain,method,topic,iteration,ctr
wikipedia,random_ctr,Petra,9,0.0061200000000000004
wikipedia,random_ctr,Petra,10,0.008
wikipedia,random_ctr,Petra,11,0.0074800000000000005
wikipedia,random_ctr,Petra,12,0.00792
wikipedia,random_ctr,Petra,13,0.0073999999999999995
wikipedia,random_ctr,Petra,14,0.005
wikipedia,random_ctr,Socotra,0,0.01076
wikipedia,random_ctr,Socotra,1,0.013599999999999998
wikipedia,random_ctr,Socotra,2,0.01416
wikipedia,random_ctr,Socotra,3,0.012639999999999998
wikipedia,random_ctr,Socotra,4,0.01136
wikipedia,random_ctr,Socotra,5,0.01268
wikipedia,random_ctr,Socotra,6,0.01348
wikipedia,random_ctr,Socotra,7,0.0102
wikipedia,random_ctr,Socotra,8,0.00964
wikipedia,random_ctr,Socotra,9,0.01032
wikipedia,random_ctr,Socotra,10,0.011800000000000001
wikipedia,random_ctr,Socotra,11,0.01064
wikipedia,random_ctr,Socotra,12,0.010960000000000001
wikipedia,random_ctr,Socotra,13,0.012759999999999999
wikipedia,random_ctr,Socotra,14,0.0108
wikipedia,random_ctr,Stoicism,0,0.00872
wikipedia,random_ctr,Stoicism,1,0.006559999999999999
wikipedia,random_ctr,Stoicism,2,0.007680000000000001
wikipedia,random_ctr,Stoicism,3,0.00712
wikipedia,random_ctr,Stoicism,4,0.00796
wikipedia,random_ctr,Stoicism,5,0.007039999999999999
wikipedia,random_ctr,Stoicism,6,0.00736
wikipedia,random_ctr,Stoicism,7,0.0066
wikipedia,random_ctr,Stoicism,8,0.00732
wikipedia,random_ctr,Stoicism,9,0.00668
wikipedia,random_ctr,Stoicism,10,0.007519999999999999
wikipedia,random_ctr,Stoicism,11,0.00732
wikipedia,random_ctr,Stoicism,12,0.00824
wikipedia,random_ctr,Stoicism,13,0.00796
wikipedia,random_ctr,Stoicism,14,0.007520000000000001
wikipedia,random_ctr,The Beatles' rooftop concert,0,0.014600000000000002
wikipedia,random_ctr,The Beatles' rooftop concert,1,0.01228
wikipedia,random_ctr,The Beatles' rooftop concert,2,0.010040000000000002
wikipedia,random_ctr,The Beatles' rooftop concert,3,0.010879999999999999
wikipedia,random_ctr,The Beatles' rooftop concert,4,0.010320000000000001
wikipedia,random_ctr,The Beatles' rooftop concert,5,0.00944
wikipedia,random_ctr,The Beatles' rooftop concert,6,0.009920000000000002
wikipedia,random_ctr,The Beatles' rooftop concert,7,0.01004
wikipedia,random_ctr,The Beatles' rooftop concert,8,0.00976
wikipedia,random_ctr,The Beatles' rooftop concert,9,0.00944
wikipedia,random_ctr,The Beatles' rooftop concert,10,0.0108
wikipedia,random_ctr,The Beatles' rooftop concert,11,0.010720000000000002
wikipedia,random_ctr,The Beatles' rooftop concert,12,0.012400000000000001
wikipedia,random_ctr,The Beatles' rooftop concert,13,0.009720000000000001
wikipedia,random_ctr,The Beatles' rooftop concert,14,0.00976
wikipedia,random_ctr,Vinson Massif,0,0.00836
wikipedia,random_ctr,Vinson Massif,1,0.00792
wikipedia,random_ctr,Vinson Massif,2,0.01012
wikipedia,random_ctr,Vinson Massif,3,0.01116
wikipedia,random_ctr,Vinson Massif,4,0.00772
wikipedia,random_ctr,Vinson Massif,5,0.00728
wikipedia,random_ctr,Vinson Massif,6,0.008839999999999999
wikipedia,random_ctr,Vinson Massif,7,0.00788
wikipedia,random_ctr,Vinson Massif,8,0.0076
wikipedia,random_ctr,Vinson Massif,9,0.00772
wikipedia,random_ctr,Vinson Massif,10,0.009
wikipedia,random_ctr,Vinson Massif,11,0.008119999999999999
wikipedia,random_ctr,Vinson Massif,12,0.00888
wikipedia,random_ctr,Vinson Massif,13,0.00976
wikipedia,random_ctr,Vinson Massif,14,0.007520000000000001
wikipedia,random_ctr,__MEAN__,0,0.010192000000000001
wikipedia,random_ctr,__MEAN__,1,0.009512
wikipedia,random_ctr,__MEAN__,2,0.009892000000000001
wikipedia,random_ctr,__MEAN__,3,0.00988
wikipedia,random_ctr,__MEAN__,4,0.009164
wikipedia,random_ctr,__MEAN__,5,0.0083
wikipedia,random_ctr,__MEAN__,6,0.009408
wikipedia,random_ctr,__MEAN__,7,0.008104
wikipedia,random_ctr,__MEAN__,8,0.008208
wikipedia,random_ctr,__MEAN__,9,0.008052
wikipedia,random_ctr,__MEAN__,10,0.008752
wikipedia,random_ctr,__MEAN__,11,0.00854
wikipedia,random_ctr,__MEAN__,12,0.008964
wikipedia,random_ctr,__MEAN__,13,0.008976000000000001
wikipedia,random_ctr,__MEAN__,14,0.008372000000000001
wikipedia,partial_ctr,Artificial Superintelligence,0,0.00708
wikipedia,partial_ctr,Artificial Superintelligence,1,0.007200000000000001
wikipedia,partial_ctr,Artificial Superintelligence,2,0.0086
wikipedia,partial_ctr,Artificial Superintelligence,3,0.0074800000000000005
wikipedia,partial_ctr,Artificial Superintelligence,4,0.00756
wikipedia,partial_ctr,Artificial Superintelligence,5,0.0068000000000000005
wikipedia,partial_ctr,Artificial Superintelligence,6,0.00756
wikipedia,partial_ctr,Artificial Superintelligence,7,0.00716
wikipedia,partial_ctr,Artificial Superintelligence,8,0.006840000000000001
wikipedia,partial_ctr,Artificial Superintelligence,9,0.008
wikipedia,partial_ctr,Artificial Superintelligence,10,0.00716
wikipedia,partial_ctr,Artificial Superintelligence,11,0.00668
wikipedia,partial_ctr,Artificial Superintelligence,12,0.007800000000000001
wikipedia,partial_ctr,Artificial Superintelligence,13,0.008679999999999998
wikipedia,partial_ctr,Artificial Superintelligence,14,0.007759999999999999
wikipedia,partial_ctr,Carl Jung,0,0.00888
wikipedia,partial_ctr,Carl Jung,1,0.009920000000000002
wikipedia,partial_ctr,Carl Jung,2,0.01116
wikipedia,partial_ctr,Carl Jung,3,0.01048
wikipedia,partial_ctr,Carl Jung,4,0.009479999999999999
wikipedia,partial_ctr,Carl Jung,5,0.0114
wikipedia,partial_ctr,Carl Jung,6,0.01064
wikipedia,partial_ctr,Carl Jung,7,0.008799999999999999
wikipedia,partial_ctr,Carl Jung,8,0.009080000000000001
wikipedia,partial_ctr,Carl Jung,9,0.009999999999999998
wikipedia,partial_ctr,Carl Jung,10,0.00956
wikipedia,partial_ctr,Carl Jung,11,0.009920000000000002
wikipedia,partial_ctr,Carl Jung,12,0.00892
wikipedia,partial_ctr,Carl Jung,13,0.010400000000000001
wikipedia,partial_ctr,Carl Jung,14,0.00924
wikipedia,partial_ctr,Friedrich Nietzsche,0,0.01572
wikipedia,partial_ctr,Friedrich Nietzsche,1,0.01612
wikipedia,partial_ctr,Friedrich Nietzsche,2,0.01772
wikipedia,partial_ctr,Friedrich Nietzsche,3,0.016319999999999998
wikipedia,partial_ctr,Friedrich Nietzsche,4,0.01772
wikipedia,partial_ctr,Friedrich Nietzsche,5,0.01552
wikipedia,partial_ctr,Friedrich Nietzsche,6,0.0156
wikipedia,partial_ctr,Friedrich Nietzsche,7,0.01804
wikipedia,partial_ctr,Friedrich Nietzsche,8,0.013920000000000002
wikipedia,partial_ctr,Friedrich Nietzsche,9,0.01588
wikipedia,partial_ctr,Friedrich Nietzsche,10,0.015040000000000001
wikipedia,partial_ctr,Friedrich Nietzsche,11,0.01756
wikipedia,partial_ctr,Friedrich Nietzsche,12,0.0162
wikipedia,partial_ctr,Friedrich Nietzsche,13,0.018840000000000003
wikipedia,partial_ctr,Friedrich Nietzsche,14,0.014479999999999998
wikipedia,partial_ctr,History of film,0,0.01092
wikipedia,partial_ctr,History of film,1,0.01136
wikipedia,partial_ctr,History of film,2,0.013319999999999999
wikipedia,partial_ctr,History of film,3,0.01224
wikipedia,partial_ctr,History of film,4,0.01132
wikipedia,partial_ctr,History of film,5,0.01192
wikipedia,partial_ctr,History of film,6,0.01316
wikipedia,partial_ctr,History of film,7,0.01116
wikipedia,partial_ctr,History of film,8,0.010320000000000001
wikipedia,partial_ctr,History of film,9,0.01172
wikipedia,partial_ctr,History of film,10,0.01124
wikipedia,partial_ctr,History of film,11,0.01044
wikipedia,partial_ctr,History of film,12,0.01376
wikipedia,partial_ctr,History of film,13,0.01068
wikipedia,partial_ctr,History of film,14,0.0124
wikipedia,partial_ctr,Ketogenic diet,0,0.0067599999999999995
wikipedia,partial_ctr,Ketogenic diet,1,0.006559999999999999
wikipedia,partial_ctr,Ketogenic diet,2,0.00776
wikipedia,partial_ctr,Ketogenic diet,3,0.00512
wikipedia,partial_ctr,Ketogenic diet,4,0.00808
wikipedia,partial_ctr,Ketogenic diet,5,0.00464
wikipedia,partial_ctr,Ketogenic diet,6,0.00528
wikipedia,partial_ctr,Ketogenic diet,7,0.0064399999999999995
wikipedia,partial_ctr,Ketogenic diet,8,0.00688
wikipedia,partial_ctr,Ketogenic diet,9,0.00776
wikipedia,partial_ctr,Ketogenic diet,10,0.00736
wikipedia,partial_ctr,Ketogenic diet,11,0.00668
wikipedia,partial_ctr,Ketogenic diet,12,0.00688
wikipedia,partial_ctr,Ketogenic diet,13,0.00636
wikipedia,partial_ctr,Ketogenic diet,14,0.006560000000000001
wikipedia,partial_ctr,Petra,0,0.009680000000000001
wikipedia,partial_ctr,Petra,1,0.00892
wikipedia,partial_ctr,Petra,2,0.01032
wikipedia,partial_ctr,Petra,3,0.00912
wikipedia,partial_ctr,Petra,4,0.008400000000000001
wikipedia,partial_ctr,Petra,5,0.00844
wikipedia,partial_ctr,Petra,6,0.00984
wikipedia,partial_ctr,Petra,7,0.00772
wikipedia,partial_ctr,Petra,8,0.00912
wikipedia,partial_ctr,Petra,9,0.00912
wikipedia,partial_ctr,Petra,10,0.008
wikipedia,partial_ctr,Petra,11,0.009600000000000001
wikipedia,partial_ctr,Petra,12,0.01008
wikipedia,partial_ctr,Petra,13,0.01012
wikipedia,partial_ctr,Petra,14,0.00788
wikipedia,partial_ctr,Socotra,0,0.0114
wikipedia,partial_ctr,Socotra,1,0.01304
wikipedia,partial_ctr,Socotra,2,0.014279999999999998
wikipedia,partial_ctr,Socotra,3,0.01492
wikipedia,partial_ctr,Socotra,4,0.01432
wikipedia,partial_ctr,Socotra,5,0.014039999999999997
wikipedia,partial_ctr,Socotra,6,0.014679999999999999
wikipedia,partial_ctr,Socotra,7,0.013040000000000001
wikipedia,partial_ctr,Socotra,8,0.013240000000000002
wikipedia,partial_ctr,Socotra,9,0.015
wikipedia,partial_ctr,Socotra,10,0.01128
wikipedia,partial_ctr,Socotra,11,0.013000000000000001
wikipedia,partial_ctr,Socotra,12,0.013919999999999998
wikipedia,partial_ctr,Socotra,13,0.01244
wikipedia,partial_ctr,Socotra,14,0.01236
wikipedia,partial_ctr,Stoicism,0,0.00872
wikipedia,partial_ctr,Stoicism,1,0.0094
wikipedia,partial_ctr,Stoicism,2,0.0106
wikipedia,partial_ctr,Stoicism,3,0.01052
wikipedia,partial_ctr,Stoicism,4,0.009240000000000002
wikipedia,partial_ctr,Stoicism,5,0.0094
wikipedia,partial_ctr,Stoicism,6,0.01024
wikipedia,partial_ctr,Stoicism,7,0.009920000000000002
wikipedia,partial_ctr,Stoicism,8,0.00968
wikipedia,partial_ctr,Stoicism,9,0.00948
wikipedia,partial_ctr,Stoicism,10,0.01056
wikipedia,partial_ctr,Stoicism,11,0.009
wikipedia,partial_ctr,Stoicism,12,0.010879999999999999
wikipedia,partial_ctr,Stoicism,13,0.01
wikipedia,partial_ctr,Stoicism,14,0.009240000000000002
wikipedia,partial_ctr,The Beatles' rooftop concert,0,0.01452
wikipedia,partial_ctr,The Beatles' rooftop concert,1,0.01612
wikipedia,partial_ctr,The Beatles' rooftop concert,2,0.01776
wikipedia,partial_ctr,The Beatles' rooftop concert,3,0.01512
wikipedia,partial_ctr,The Beatles' rooftop concert,4,0.01452
wikipedia,partial_ctr,The Beatles' rooftop concert,5,0.015479999999999999
wikipedia,partial_ctr,The Beatles' rooftop concert,6,0.017480000000000002
wikipedia,partial_ctr,The Beatles' rooftop concert,7,0.016040000000000002
